지역,식당이름,점심인지,저녁인지,회식인지,주종,페이코인지아닌지
오리,맥도날드,true,true,false,,true
오리,서브웨이,true,true,false,,true
오리,더피크닉,true,true,false,,true
오리,JVL부대찌개,true,true,false,,true
오리,명가순대국,true,true,false,소주,true
오리,엄마밥상,true,true,false,,true
오리,영심이,true,true,false,,true
오리,셰셰,true,true,true,고량주,true
오리,일도씨닭갈비,true,true,false,,false
오리,호프집돈가스,true,false,false,,false
오리,유메노키친,true,true,false,,false
오리,연안식당,true,true,false,,false
오리,아비꼬,true,true,false,,false
오리,반장떡볶이,true,true,false,,false
오리,서연일식,true,true,false,,false
오리,베이징,true,true,false,고량주,false
오리,금향,true,true,true,맥주/고량주,false
오리,가진항,false,false,true,소주,false
오리,분당그릴,false,false,true,소주/맥주/소맥,false
정자,맛찬들,false,false,true,소주/맥주/소맥,false